goodsNo,리뷰번호,리뷰타입,작성자,리뷰내용,평점,체험단,구매옵션,키,몸무게,성별,작성일,만족도,사진유무,도움돼요,브랜드,카테고리,구매사이즈,구매상세,연도,월,일,요일,평점_raw,만족도_응답여부,사이즈,화면대비색감,퀄리티,구김,두께감,신축성,색감,보온성,퀄리티_점수,보온성_점수,신축성_점수,두께감_점수,구김_점수,사이즈_편차,사이즈_편차절대,화면대비색감_편차,화면대비색감_편차절대,색감_편차,색감_편차절대
994588,84537780,general,단호한서울등산화,한 번 빨았는데도 별로 주름지지 않습니다. 아주 한여름빼면 봄부터 가을까지 아주 잘 입을 것 같습니다,5.0,False,S(린넨),169.0,51.0,여성,2026-05-17 20:00:17,사이즈: 정사이즈 / 화면 대비 색감: 화면과 비슷 / 퀄리티: 보통 / 구김: 거의 없음,False,0,filluminate,상의,S,(린넨),2026,5,17,일,5,응답,정사이즈,화면과 비슷,보통,거의 없음,,,,,3.0,,,,4.0,0.0,0.0,0.0,0.0,,
994588,84528115,general,안전한쿠바비즈,린넨소재라 얇을줄 알았는데 생각보다 두꺼워요 무게감도 있구요,4.0,False,M(린넨),173.0,77.0,여성,2026-05-17 14:26:05,사이즈: 정사이즈 / 화면 대비 색감: 화면과 비슷 / 퀄리티: 좋음 / 구김: 약간 있음,True,0,filluminate,상의,M,(린넨),2026,5,17,일,4,응답,정사이즈,화면과 비슷,좋음,약간 있음,,,,,4.0,,,,3.0,0.0,0.0,0.0,0.0,,
994588,84511736,style,Sential,"딱 정석 느낌의 살짝 오버핏 셔츠라서 맘에 들고, 얇아서 여름에도 가능할 느낌? 근데 얇아서 방지턱은 하나 입어줘야 합니다요",5.0,False,L(옥스포드),180.0,80.0,남성,2026-05-16 20:43:15,사이즈: 조금 큼 / 화면 대비 색감: 화면과 비슷 / 퀄리티: 좋음 / 구김: 약간 있음,True,0,filluminate,상의,L,(옥스포드),2026,5,16,토,5,응답,조금 큼,화면과 비슷,좋음,약간 있음,,,,,4.0,,,,3.0,1.0,1.0,0.0,0.0,,
994588,84495846,general,뜨뜨악거,좋아요 데일리로 입기 좋아요 박시하게 입기도 좋고 추천합니달,3.0,False,L(옥스포드),165.0,52.0,여성,2026-05-16 12:13:37,사이즈: 정사이즈 / 화면 대비 색감: 화면과 비슷 / 퀄리티: 보통 / 구김: 약간 있음,False,0,filluminate,상의,L,(옥스포드),2026,5,16,토,3,응답,정사이즈,화면과 비슷,보통,약간 있음,,,,,3.0,,,,3.0,0.0,0.0,0.0,0.0,,
994588,84483578,general,Mmlnl,흰색이라 무난하게 이뻐요 셔츠가 되게 크긴하네요,5.0,False,M(옥스포드),172.0,70.0,남성,2026-05-15 20:58:00,사이즈: 정사이즈 / 화면 대비 색감: 화면과 비슷 / 퀄리티: 보통 / 구김: 약간 있음,True,0,filluminate,상의,M,(옥스포드),2026,5,15,금,5,응답,정사이즈,화면과 비슷,보통,약간 있음,,,,,3.0,,,,3.0,0.0,0.0,0.0,0.0,,
994588,84483574,style,Mmlnl,흰색이라 무난하게 이뻐요 셔츠가 되게 크긴하네요,5.0,False,M(옥스포드),172.0,70.0,남성,2026-05-15 20:57:48,사이즈: 정사이즈 / 화면 대비 색감: 화면과 비슷 / 퀄리티: 보통 / 구김: 약간 있음,True,0,filluminate,상의,M,(옥스포드),2026,5,15,금,5,응답,정사이즈,화면과 비슷,보통,약간 있음,,,,,3.0,,,,3.0,0.0,0.0,0.0,0.0,,
994588,84479710,style,닭날개한조각,다른건 다 좋은데 생각했던 것보다 조금 두껍긴 합니다,5.0,False,L(린넨),185.0,85.0,남성,2026-05-15 18:14:49,사이즈: 정사이즈 / 화면 대비 색감: 화면과 비슷 / 퀄리티: 보통 / 구김: 약간 있음,True,0,filluminate,상의,L,(린넨),2026,5,15,금,5,응답,정사이즈,화면과 비슷,보통,약간 있음,,,,,3.0,,,,3.0,0.0,0.0,0.0,0.0,,
994588,84479694,general,닭날개한조각,다른건 다 좋은데 생각했던 것보다 조금 두껍긴 합니다,5.0,False,L(린넨),185.0,85.0,남성,2026-05-15 18:14:29,사이즈: 정사이즈 / 화면 대비 색감: 화면과 비슷 / 퀄리티: 보통 / 구김: 약간 있음,True,0,filluminate,상의,L,(린넨),2026,5,15,금,5,응답,정사이즈,화면과 비슷,보통,약간 있음,,,,,3.0,,,,3.0,0.0,0.0,0.0,0.0,,
994588,84473617,general,Slapw,구김도 걱정보다작고 사이즈나 핏도 좋았습니다!!,5.0,False,L(린넨),184.0,79.0,남성,2026-05-15 14:25:07,사이즈: 정사이즈 / 화면 대비 색감: 화면과 비슷 / 퀄리티: 좋음 / 구김: 약간 있음,True,0,filluminate,상의,L,(린넨),2026,5,15,금,5,응답,정사이즈,화면과 비슷,좋음,약간 있음,,,,,4.0,,,,3.0,0.0,0.0,0.0,0.0,,
994588,84452159,general,탸파,딱 평범한 옥스포드셔츠입니다. 가장 무난하니 사두세요,5.0,False,M(옥스포드),172.0,60.0,남성,2026-05-14 18:47:18,사이즈: 정사이즈 / 화면 대비 색감: 화면과 비슷 / 퀄리티: 보통 / 구김: 약간 있음,False,0,filluminate,상의,M,(옥스포드),2026,5,14,목,5,응답,정사이즈,화면과 비슷,보통,약간 있음,,,,,3.0,,,,3.0,0.0,0.0,0.0,0.0,,
994588,84441860,general,존경받는파리룩북,세탁해도 구김이 적고 실루엣을 잘 잡아줘서 다시 구매했습니다,4.0,False,L(옥스포드),176.0,69.0,남성,2026-05-14 12:38:08,사이즈: 정사이즈 / 화면 대비 색감: 화면과 비슷 / 퀄리티: 보통 / 구김: 거의 없음,False,0,filluminate,상의,L,(옥스포드),2026,5,14,목,4,응답,정사이즈,화면과 비슷,보통,거의 없음,,,,,3.0,,,,4.0,0.0,0.0,0.0,0.0,,
